"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"872921051817","Human Rights Capacity Development and provision of small grants to local NGOs"," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","","01/01/2010","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations","Civil Society Organizations"," "," "," "," "," "
"872921051818","Human Rights Capacity Development of Parliament, Judiciary, Fund for protection of victims of alleged human rights abuses, Creation of human rights materials, Capacity development of Section's national staff."," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","","01/01/2010","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations"," - Ministry of Justice
 - National Parliament"," "," "," "," "," "
"87292452210","Estabelecimento pelo Ministério da Educação de Timor-Leste de 13 escolas modelo, uma por cada distrito, com o objetivo de contribuir para o desenvolvimento do sistema educativo em Timor-Leste.","Neutral","1. Melhoria da qualidade de aprendizagem dos alunos; 2. Formação de professores; 3. Difusão de boas práticas no que respeita àsquestões pedagógicas, infraestruturas, organização das turmas, alimentação na escola, administração escolar, etc."," ","2010/2011 - génese de 4 polos distritais (Baucau, Maliana, Same e Oecussi).Em 2011/2012, abertura do polo de Gleno.  2011/2012 - abertura do polo de Gleno. No total 50 professores portugueses lecionaram 1530 alunos do ensino pré-escolar ao 3º ano em 5 esc","Portugal User (portugal@amp.org)","03/10/2012","Portugal User (portugal@amp.org)","09/10/2013","","31/12/2013","01/01/2010","Both","Timor-Leste"," "," "," "," - Portugal
 - RDTL Line Ministry"," - Bilateral
 - Government of Timor-Leste","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal","Ministry of Education","RDTL Line Ministry","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191145"," "," ","Provide improved work skills and employment opportunities for Timorese, particularly youth"," "," ","AMP Project Manager (atl@amp.org)","24/07/2011","GS NDAE (gsndae@amp.org)","17/10/2012","","","","National","Timor-Leste"," "," "," ","Australia","Bilateral","Project Support","Appropriation Category Unallocated","Grant","DFAT - Australian Aid Program","Australia","Australian Bilateral Initiative","Austria","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191240","This is to clarify the necessity of national road upgrading in Timor-Leste."," ","To study the feasibility of road network between Dili and Baucau","","Under Preparation","AMP Project Manager (atl@amp.org)","02/08/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste"," - Baucau
 - Dili
 - Manatuto"," - Baucau
 - Cristo Rei
 - Manatuto"," - Bahu
 - Becora
 - Maabat","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES"," "
"87292191231","Aims to develop capacity of WTP manager and workers in Dili (including 4 WTPs), Liquiça, Same, Ainaro and Lospalos by ToT (Training of Trainers) method and making Standard Work Procedure. The goal is to achieve 24 hrs. operation by 2011."," ","To improve operation and maintenance of water treatment plants & water quality control performance"," ","Operators in water treatment plants were well trained and have capability to monitor the water supply for 24 hours in water treatment plant.","AMP Project Manager (atl@amp.org)","02/08/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste"," - Ainaro
 - Dili
 - Lautem
 - Liquica
 - Manufahi"," - Lospalos
 - Same"," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292401686","Construction of the manual water pump system"," ","To improve the accessibility of clean and safe water to the community"," ","Completed in 2011","JICA User (jica@amp.org)","21/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","30/03/2011","","","District Level","Timor-Leste","Manufahi","Alas"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","NGO Hamoris Neon","International NGO","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION","Umaberloic"
"87292411697","Construction of the water supply system in two villages in Aileu"," ","To improve the acessibility of clean and safe water"," ","Completed in 2009","Government of Japan User (goj@amp.org)","22/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Aileu","Remexio","Fada Bloko","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Belun","Domestic NGO","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292411703","Construction of the water supply system"," ","To improve the accessibility of clean and safe water to primary schools and border markets"," ","Completed in 2009","Government of Japan User (goj@amp.org)","22/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Oecussi","Oesilo","Bobmeto","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Fundacao Solenusat","Japan","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292191180","The project is to support the Ministry of Education in strengthening its capacities in communicating and advocating for EFA agenda in Timor-Leste through by providing opportunities to MoE staff to attend trainings and workshop on media awareness on EFA is"," ","Strengthened knowledge of media professionals in drawing out greater awareness and understanding of EFA issues and in advocating the EFA agenda.","","Media professionals knowledge in drawing out greater awareness and understanding of EFA issues and in advocating the EFA agenda is strengthened.","AMP Project Manager (atl@amp.org)","28/07/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations","United Nations Educational, Scientific and Cultural Organization","United Nations","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191255","The project support to develop local skills to provide quality research, including public opinion surveys and project evaluations."," ","Develop local skills to provide quality research, including public opinion surveys and project evaluations.","","The project increased significantly the capaciy of local researchers organization","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United States","Bilateral","Project Support","Goods or Services","Grant","United States Agency for International Development","United States","Ministry of Education","RDTL Line Ministry","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191278","The Prepara Ami ba Servisu&mdash;""Preparing ourselves for work""&mdash;program, known simply as ""PAS"", began as a response to the civil strife of 2006 and endeavored to groom youth for a formal job or small business ownership. The program focused on youth "," ","Engage 2,500 youth in a 1-year program of on- and off-the-job training to improve their employability."," ","Over 50% of USG-funded workforce development program graduates have found formal or self-employment and others are continuing their education. USG funding helped local NGOs become accredited providers for government training programs and helped found eigh","AMP Project Manager (atl@amp.org)","07/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Manufahi
 - Oecussi","Nitibe"," ","United States","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","United States Agency for International Development","United States"," "," ","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292411688","Construction of the water supply system"," ","To improve the acessibility of clean and safe water in the community"," ","Completed in 2008","Government of Japan User (goj@amp.org)","21/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Liquica","Liquica","Hatuquesi","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292411689","Construction of the water supply system"," ","To improve the accessibility of clean and safe water in the community"," ","Completed in 2008","Government of Japan User (goj@amp.org)","21/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Liquica","Bazartete","Fatumasi","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Organizasaun Solidaridade Komunidade de Timor Leste","Domestic NGO","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION","Bazartete"
"87292401681","Construction of the school building"," ","To improve the studying environment for primary school students"," ","Completed in 2011","JICA User (jica@amp.org)","20/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","30/09/2011","","District Level","Timor-Leste","Lautem","Iliomar"," - Ailebere
 - Fuat
 - Iliomar I
 - Iliomar II
 - Tirilolo","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","NGO FUFTILO","International NGO","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING","Cainliu"
"87292401685","Constructon of the solar panel pump water system"," ","To improve the accessibility of clean and safe water to the community, by using clean energy"," ","Completed in 2012","JICA User (jica@amp.org)","21/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","30/03/2011","","","District Level","Timor-Leste"," - Manatuto
 - Oecussi"," - Laleia
 - Pante Makasar","Lifau","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","NGO FLWS","International NGO","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292411687","Provide training courses to Auto-mechanics"," ","To develop the skills of auto-mechanics"," ","Provide training courses to Auto-mechanics","Government of Japan User (goj@amp.org)","21/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","10/02/2011","09/11/2011","","District Level","Timor-Leste","Dili","Vera Cruz"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","NGO JDRAC","International NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary of State for Professional Training and Employment Policy"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING","Dare"
"87292411692","Construction of new annex classroom at the Youth Center"," ","To improve the capacity of English language and non-formal education of youths"," ","Completed in 2009","Government of Japan User (goj@amp.org)","21/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary of State for Youth and Sport"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING","Comoro"
"87292411772","Provide training courses in management of sports and English language to youth group."," ","To enhnace practical skills and self-confidence of children and youths."," "," ","Government of Japan User (goj@amp.org)","25/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","01/02/2010","09/02/2011","","District Level","Timor-Leste"," - Baucau
 - Dili
 - Ermera
 - Viqueque"," "," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Kokio naki Kodomotachi","Japan","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292481497","CARE International Timor-Leste's Lafaek project supported basic education and promoted the development of literacy, numeracy and basic life skills for children in primary schools and pre-secondary schools so that they can become productive, contributing c"," ","Improve the quality of basic education through provision of curriculum support materials to all students and teachers.","","Creation of age appropriate supplementary curriculum materials for students in all levels of basic education.    Dissemination of information to teachers related to their profession and their on-going professional development.    Support teachers in the d","NZ User (nzaid@amp.org)","11/11/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","30/07/2011","","National","Timor-Leste"," "," "," ","New Zealand","Bilateral","Project Support","Appropriation Category Unallocated","Grant"," - Care International
 - New Zealand Aid Programme, Ministry of Foreign Affairs and Trade"," - International NGO
 - New Zealand","Care International","International NGO","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292401684","Construction of vocational traning center"," ","Capacity building of youths"," ","Completed in 2011","JICA User (jica@amp.org)","21/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","30/03/2011","","","District Level","Timor-Leste","Manufahi","Fatuberliu","Clakuk","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of State Administration"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292411769","Renovating the youths centre and provide educational assistance to youths"," ","To rehabilitate and provide educational assistance to youths affected by disturbances."," ","Completed in 2008","Government of Japan User (goj@amp.org)","25/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","29/08/2007","","","District Level","Timor-Leste"," - Baucau
 - Dili
 - Ermera
 - Viqueque"," "," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191431","Renovating the youths centre and provide educational assistance to youths."," ","To rehabilitate and provide educational assistance to youths affected by disturbances."," ","Completed in 2011","AMP Project Manager (atl@amp.org)","20/10/2011","GS NDAE (gsndae@amp.org)","19/10/2012","29/10/2008","","","District Level","Timor-Leste"," - Baucau
 - Dili
 - Ermera
 - Viqueque"," "," ","Japan","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","Government Of Japan","Japan","Kokio naki Kodomotachi","Japan","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary of State for Youth and Sport"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191128","Australia has supported PDT to develop a business database and promote local private sector development in East Timor. AusAID initiative INH194."," ","Support income generation and employment by strengthening market linkages",""," ","AMP Project Manager (atl@amp.org)","24/07/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste"," - Baucau
 - Dili"," "," ","Australia","Bilateral","Project Support","Appropriation Category Unallocated","Grant","DFAT - Australian Aid Program","Australia","Peace Dividend Trust","International NGO","Secretary of State for Support and Promotion of the Private Sector"," "," ","ECONOMIC DEVELOPMENT","PRIVATE SECTOR INVESTMENT"," "
"87292411774","Provide training classes to school teachers and students in order to prevent infectious diseases."," ","To raise awareness among primary school children for prevention of infectious diseases such as diarrhea and malaria."," ","Completed in 2011","Government of Japan User (goj@amp.org)","25/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","20/07/2010","27/07/2011","","District Level","Timor-Leste","Ermera"," "," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","SHARE","Other","Ministry of Health"," "," ","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - HEALTH"," "
"87292191260","Since 2004 HAI has partnered with the Timor-Leste Ministry of Health (MOH) to strengthen public sector services for maternal care, newborn care, and family planning. HAI works with MOH staff at the central level of the MOH to develop activities and interv"," ","Introduce good practices in maternal health, newborn care, family planning, and reproductive health, including child spacing.","","In FY11 4,117 people received training in maternal and newborn health; 984 people received training in child health and nutrition; 874 medical and para-medical practitioners received training in evidence-based clinical guidelines; and 927 people received ","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","01/09/2004","","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Dili
 - Ermera
 - Liquica
 - Manatuto
 - Manufahi"," - Ainaro
 - Bazartete
 - Hatolia
 - Laclo
 - Maubisse
 - Nein Feto
 - Remexio
 - Same
 - Vera Cruz"," ","United States","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","United States Agency for International Development","United States"," "," ","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292191261","The Planning for Responsible Parenthood (P4RP) project contributes to promoting child spacing/family planning by helping to integrate Natural Family Planning (NFP) into government services, therefore providing new child spacing options to the people of Ti"," ","Work with Church to increase demand for and availability of family planning services, particularly natural methods.","","In FY 2011, 1,455 people received training in Family Planning with USG support. There were 57,852 counseling visits for family planning. USG assistance supported 215 service delivery points that offer Family Planning counseling and services. There were 21","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste"," - Baucau
 - Viqueque"," "," ","United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Catholic Relief Services","International NGO","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292191263"," "," ","Support the upcoming Demographic and Health Survey (DHS) in Timor-Leste",""," ","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United States","Bilateral","Program Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States"," "," ","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292191433","Construction of community clinic"," ","To improve community people, especially young children and mothers, accessibility to health facilities"," ","Completed in 2010","AMP Project Manager (atl@amp.org)","20/10/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Government Of Japan","Japan","Kasih Yesus dan Maria","Other","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH","Bebonuk Metin"
"87292191434","Provide training for malaria prevention and distribution of mosquito nets to local communities"," ","To reduce the number of malaria morbility"," ","Completed in 2010","AMP Project Manager (atl@amp.org)","20/10/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Lautem"," - Iliomar
 - Lautem
 - Lospalos
 - Luro
 - Tutuala"," ","Japan","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","Government Of Japan","Japan","Fuan Ida Neon Ida","Other","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292411690","The Saint Bakhita Center provided the Ambulance"," ","To improve the ambulance transportation system for emergency patients"," ","Completed in 2008","Government of Japan User (goj@amp.org)","21/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Ermera"," - Lete Foho
 - Railaco","Era Ulu","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292411691","Establishing Birth-Friendly Health Facility (BFHF) in community health centers"," ","To improve the access of BFHF for pregnant women"," ","Completed in 2008","Government of Japan User (goj@amp.org)","21/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste"," - Ainaro
 - Manufahi"," - Fatuberliu
 - Hato Udo"," - Clakuk
 - Leolima","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Health Alliance International","International NGO","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292991759","The program primarily pursues the following objectives: - Enhancing case management through early case detection and delivery of effective antimalarial therapies. - Utilization of an integrated approach to prevent and control malaria. - Integrating commun"," ","Reduced malaria burden significantly by 2012 and to contribute to achievement of the Millenium Development Goals","","Key achievements: - No of suspected malaria cases that receive parasitological tests (microscopically and RDT): 209,447 - Number of malaria cases (probable and confirmed, P.vivax and P. falciparum) receiving antimalarial treatment (including ACT): 35,927 ","IFI NDAE (ifindae@amp.org)","12/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","International NGO","NGO","Project Support","Appropriation Category Unallocated","Grant","Ministry of Health","RDTL Line Ministry"," - Care International
 - Ministry of Health
 - Timor Aid"," - Domestic NGO
 - International NGO
 - RDTL Line Ministry","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292401679","Renovating five buildings of the care center"," ","To renovate care center buildings in order to enhnace the accessibility of elderly people and tubercular patients"," ","Completed in 2008","JICA User (jica@amp.org)","20/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","30/03/2008","","","District Level","Timor-Leste","Liquica","Bazartete","Tibar","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH"," "
"87292411698","Rehabilitation for Motael clinic"," ","To renovate Motael Clinic"," ","Completed in 2009","Government of Japan User (goj@amp.org)","22/03/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH","MÃ³tael"
